CODIGO_ESTABLECIMIENTO,NOM_ESTAB,Dirección,Nom_depa,Nom_muni,SECTOR,AREA,PLAN,JORNADA,Evaluados_Nacional_2013,SEXO_Mujer_Cantidad_Nacional_2013,SEXO_Hombre_Cantidad_Nacional_2013,SEXO_Mujer_Porcentaje_Nacional_2013,SEXO_Hombre_Porcentaje_Nacional_2013,PLAN_DIARIO_Cantidad_Nacional_2013,PLAN_SABATINO_Cantidad_Nacional_2013,PLAN_DOMINICAL_Cantidad_Nacional_2013,PLAN_FIN_SEMANA_Cantidad_Nacional_2013,PLAN_A_DISTANCIA_Cantidad_Nacional_2013,LOGRO_LECTURA_Porcentaje_Nacional_2013,NO_LOGRO_LECTURA_Porcentaje_Nacional_2013,DESEMPEÑO_LEC_EXCELENTE_Porcentaje_Nacional_2013,DESEMPEÑO_LEC_SATISFAC_Porcentaje_Nacional_2013,DESEMPEÑO_LEC_D_MEJORAR_Porcentaje_Nacional_2013,DESEMPEÑO_LEC_INSATIS_Porcentaje_Nacional_2013,LOGRO_NACIONAL_MATE_PORCENTAJE_2013,NO_LOGRO_MATE_NAC_2013,DESEMPEÑO_MATE_EXCELENTE_Porcentaje_Nacional_2013,DESEMPEÑO_MATE_SATISFAC_Porcentaje_Nacional_2013,DESEMPEÑO_MATE_D_MEJORAR_Porcentaje_Nacional_2013,DESEMPEÑO_MATE_INSATIS_Porcentaje_Nacional_2013,Cantidad_Evaluados_Establecimiento_2013,LOGRO_LECTURA_ESTABLECIMIENTO_BAS2013,NO_LOGRO_LECTURA_ESTABLECIMIENTO_BAS2013,DESEMPEÑO_EXCELENTE_LECTURA_PORCENTAJE_BAS2013,DESEMPEÑO_SATISFACTORIO_LECTURA_PORCENTAJE_BAS2013,DESEMPEÑO_DEBE_MEJORAR_LECTURA_PORCENTAJE_BAS2013,DESEMPEÑO_INSATISFACTORIO_LECTURA_PORCENTAJE_BAS2013,NUM_ALUM_10_EVAL_LEC_2013,LOGRO_NACIONAL_LECT_PORCENTAJE_2013,LOGRO_LECTURA_DEPARTAMENTAL_PORCENTAJE_2013,LOGRO_LECTURA_MUNICIPAL_PORCENTAJE_2013,NO_LOGRO_LECTURA_Porcentaje_Nacional_2013,NO_LOGRO_LECTURA_Departamental_2013,NO_LOGRO_LECTURA_Municipal_2013,LIBROS_LEE_PARA_INFORME_2_o_MENOS_2013,LIBROS_LEE_PARA_INFORME_3_a_6a_2013,LIBROS_LEE_PARA_INFORME_más_de_6a_2013,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_BAS2013,NO_LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_BAS2013,DESEMPEÑO_EXCELENTE_MATE_PORCENTAJE_BAS2013,DESEMPEÑO_SATISFACTORIO_MATE_PORCENTAJE_BAS2013,DESEMPEÑO_DEBE_MEJORAR_MATE_PORCENTAJE_BAS2013,DESEMPEÑO_INSATISFACTORIO_MATE_PORCENTAJE_BAS2013,NUM_ALUM_10_EVAL_MATE,LOGRO_NACIONAL_MATE_PORCENTAJE_2013,LOGRO_MATEMÁTICAS_DEPARTAMENTAL_PORCENTAJE_2013,LOGRO_MATEMÁTICAS_MUNICIPAL_PORCENTAJE_2013,NO_LOGRO_MATEMÁTICAS_Porcentaje_Nacional_2013,NO_LOGRO_MATEMÁTICAS_Departamental_2013,NO_LOGRO_MATEMÁTICAS_Municipal_2013,LOGRO_LECTURA_ESTABLECIMIENTO_2009,LOGRO_LECTURA_ESTABLECIMIENTO_2006,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2009,LOGRO_MATEMÁTICAS_ESTABLECIMIENTO_2006,MODELOS_DE_CALIDAD_SECTOR_OFICIAL
01-05-0005-45,INEB DE TELESECUNDARIA,ALDEA LOS PLANES,Guatemala,PALENCIA,OFICIAL,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,11.00,10.00,90.00,0.00,10.00,20.00,70.00,1.00,14.58,28.11,14.12,85.42,71.89,85.88,90.91,9.09,0.00,20.00,80.00,0.00,20.00,0.00,80.00,2.00,18.35,28.32,15.56,81.65,71.68,84.44,N/D,N/D,N/D,N/D,TELESECUNDARIA
01-05-0006-45,INEB DE TELESECUNDARIA,ALDEA EL TRIUNFO,Guatemala,PALENCIA,OFICIAL,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,14.00,7.14,92.86,0.00,7.14,57.14,35.71,1.00,14.58,28.11,14.12,85.42,71.89,85.88,85.71,14.29,0.00,28.57,71.43,0.00,28.57,35.71,35.71,3.00,18.35,28.32,15.56,81.65,71.68,84.44,N/D,N/D,N/D,N/D,TELESECUNDARIA
01-05-0023-45,CENTRO EDUCATIVO FE Y ALEGRIA  NO. 48,ALDEA PLAN GRANDE,Guatemala,PALENCIA,PRIVADO,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,24.00,8.33,91.67,0.00,8.33,20.83,70.83,1.00,14.58,28.11,14.12,85.42,71.89,85.88,66.67,33.33,0.00,12.50,87.50,0.00,12.50,25.00,62.50,1.00,18.35,28.32,15.56,81.65,71.68,84.44,N/D,N/D,N/D,N/D,
01-05-0026-45,LICEO MANANTIAL DEL SABER,LOTE 2 MANZANA G COLONIA SAN MAURICIO KM.24 RUTA AL ATLANTICO AZACUALPILLA,Guatemala,PALENCIA,PRIVADO,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,10.00,10.00,90.00,10.00,0.00,20.00,70.00,1.00,14.58,28.11,14.12,85.42,71.89,85.88,70.00,30.00,0.00,20.00,80.00,0.00,20.00,20.00,60.00,2.00,18.35,28.32,15.56,81.65,71.68,84.44,N/D,N/D,N/D,N/D,
01-05-0027-45,INEB DE TELESECUNDARIA,ALDEA LOS TECOMATES,Guatemala,PALENCIA,OFICIAL,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,13.00,15.38,84.62,7.69,7.69,7.69,76.92,2.00,14.58,28.11,14.12,85.42,71.89,85.88,46.15,30.77,23.08,15.38,84.62,7.69,7.69,30.77,53.85,2.00,18.35,28.32,15.56,81.65,71.68,84.44,N/D,N/D,N/D,N/D,TELESECUNDARIA
01-05-2620-45,IEBC DE ENSEÑANZA,ALDEA SANGUAYABA,Guatemala,PALENCIA,COOPERATIVA,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,27.00,7.41,92.59,3.70,3.70,40.74,51.85,1.00,14.58,28.11,14.12,85.42,71.89,85.88,40.74,55.56,3.70,14.81,85.19,0.00,14.81,33.33,51.85,1.00,18.35,28.32,15.56,81.65,71.68,84.44,18.75,N/D,6.25,N/D,
01-05-2625-45,IEBC DE ENSEÑANZA,ALDEA EL PARAISO,Guatemala,PALENCIA,COOPERATIVA,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,52.00,13.46,86.54,3.85,9.62,28.85,57.69,1.00,14.58,28.11,14.12,85.42,71.89,85.88,82.69,11.54,5.77,15.38,84.62,0.00,15.38,25.00,59.62,2.00,18.35,28.32,15.56,81.65,71.68,84.44,3.57,N/D,10.71,N/D,
01-05-6526-45,IEBC,ALDEA EL FISCAL,Guatemala,PALENCIA,COOPERATIVA,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,39.00,15.38,84.62,2.56,12.82,48.72,35.90,2.00,14.58,28.11,14.12,85.42,71.89,85.88,84.62,12.82,2.56,20.51,79.49,2.56,17.95,38.46,41.03,2.00,18.35,28.32,15.56,81.65,71.68,84.44,25.00,N/D,20.41,N/D,
01-05-8335-45,INEB DE TELESECUNDARIA,ALDEA AZACUALPILLA,Guatemala,PALENCIA,OFICIAL,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,38.00,10.53,89.47,0.00,10.53,34.21,55.26,1.00,14.58,28.11,14.12,85.42,71.89,85.88,78.95,18.42,2.63,7.89,92.11,0.00,7.89,39.47,52.63,1.00,18.35,28.32,15.56,81.65,71.68,84.44,N/D,N/D,N/D,N/D,TELESECUNDARIA
01-05-8546-45,LICEO INTEGRAL PALENCIANO,2A. CALLE PROLONGACION INTERIOR NO. 7,Guatemala,PALENCIA,PRIVADO,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,9.00,11.11,88.89,11.11,0.00,66.67,22.22,1.00,14.58,28.11,14.12,85.42,71.89,85.88,77.78,11.11,11.11,33.33,66.67,0.00,33.33,11.11,55.56,3.00,18.35,28.32,15.56,81.65,71.68,84.44,61.54,30.95,30.77,11.63,
01-05-8605-45,LICEO INTEGRAL PALENCIANO,2A. CALLE PROLONGACION INTERIOR NO. 7 EL RINCON,Guatemala,PALENCIA,PRIVADO,URBANA,FIN DE SEMANA,DOBLE,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,4.00,0.00,100.00,0.00,0.00,50.00,50.00,0.00,14.58,28.11,14.12,85.42,71.89,85.88,100.00,0.00,0.00,50.00,50.00,0.00,50.00,0.00,50.00,5.00,18.35,28.32,15.56,81.65,71.68,84.44,0.00,54.55,0.00,0.00,
01-05-8699-45,CENTRO EDUCATIVO MONSEÑOR JUAN GERARDI CONEDERA FE Y ALEGRIA NO. 43,CANTON PUEBLO NUEVO NORTE,Guatemala,PALENCIA,PRIVADO,RURAL,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,77.00,24.68,75.32,9.09,15.58,41.56,33.77,2.00,14.58,28.11,14.12,85.42,71.89,85.88,71.43,24.68,3.90,14.29,85.71,1.30,12.99,31.17,54.55,1.00,18.35,28.32,15.56,81.65,71.68,84.44,9.72,32.08,19.44,19.30,
01-05-9166-45,NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED,ALDEA LA CONCEPCION,Guatemala,PALENCIA,OFICIAL,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,7.00,0.00,100.00,0.00,0.00,28.57,71.43,0.00,14.58,28.11,14.12,85.42,71.89,85.88,100.00,0.00,0.00,14.29,85.71,0.00,14.29,28.57,57.14,1.00,18.35,28.32,15.56,81.65,71.68,84.44,22.22,N/D,22.22,N/D,NUFED
01-05-9808-45,LICEO INTEGRAL PALENCIANO,2A. CALLE PROLONGACION INTERIOR NO.7 EL RINCON,Guatemala,PALENCIA,PRIVADO,URBANA,FIN DE SEMANA,DOBLE,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,14.00,21.43,78.57,14.29,7.14,50.00,28.57,2.00,14.58,28.11,14.12,85.42,71.89,85.88,92.86,7.14,0.00,7.14,92.86,0.00,7.14,50.00,42.86,1.00,18.35,28.32,15.56,81.65,71.68,84.44,0.00,N/D,0.00,N/D,
01-06-0006-45,"INEB ""EDGAR ARNOLDO MEDRANO MENENDEZ""","SECTOR 43, LOTE 0, TIERRA NUEVA I",Guatemala,CHINAUTLA,OFICIAL,URBANA,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,267.00,16.17,83.83,6.39,9.77,31.58,52.26,2.00,14.58,28.11,14.39,85.42,71.89,85.61,85.02,11.99,3.00,16.17,83.83,0.38,15.79,35.34,48.50,2.00,18.35,28.32,14.14,81.65,71.68,85.86,20.51,N/D,23.08,N/D,REGULAR
01-06-0018-45,LICEO MIXTO CRISTIANO REMANENTE ESCOGIDO,1A. AVENIDA Y 7A. AVENIDA LOTES 12 Y 14 COLONIA RICH,Guatemala,CHINAUTLA,PRIVADO,RURAL,FIN DE SEMANA,DOBLE,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,2.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,14.58,28.11,14.39,85.42,71.89,85.61,100.00,0.00,0.00,0.00,100.00,0.00,0.00,50.00,50.00,0.00,18.35,28.32,14.14,81.65,71.68,85.86,N/D,N/D,N/D,N/D,
01-06-0034-45,"INEB ""EDGAR ARNOLDO MEDRANO MENENDEZ II""",MANZANA 2 LOTE 4 SECTOR B4 TIERRA NUEVA II,Guatemala,CHINAUTLA,OFICIAL,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,106.00,9.43,90.57,1.89,7.55,30.19,60.38,1.00,14.58,28.11,14.39,85.42,71.89,85.61,94.34,5.66,0.00,20.75,79.25,0.00,20.75,50.00,29.25,2.00,18.35,28.32,14.14,81.65,71.68,85.86,N/D,N/D,N/D,N/D,REGULAR
01-06-0035-45,"INEB ""EDGAR ARNOLDO MEDRANO""",LOTE 0 SECTOR 43 TIERRA NUEVA I,Guatemala,CHINAUTLA,OFICIAL,RURAL,FIN DE SEMANA,DOBLE,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,86.00,11.63,88.37,2.33,9.30,30.23,58.14,1.00,14.58,28.11,14.39,85.42,71.89,85.61,89.53,9.30,1.16,6.98,93.02,0.00,6.98,17.44,75.58,1.00,18.35,28.32,14.14,81.65,71.68,85.86,N/D,N/D,N/D,N/D,REGULAR
01-06-0038-45,"INEB COMPLEJO EDUCATIVO SACOJITO ""EDGAR ARNOLDO MEDRANO MENENDEZ",SECTOR NO. 4 LOTE 93 ALDEA CONCEPCION SACOJITO,Guatemala,CHINAUTLA,OFICIAL,RURAL,DIARIO(REGULAR),MATUTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,58.00,18.97,81.03,5.17,13.79,44.83,36.21,2.00,14.58,28.11,14.39,85.42,71.89,85.61,72.41,24.14,3.45,15.52,84.48,0.00,15.52,50.00,34.48,2.00,18.35,28.32,14.14,81.65,71.68,85.86,N/D,N/D,N/D,N/D,REGULAR
01-06-0072-45,INSTITUTO NACIONAL MARIA FERNANDA MEDRANO CORDON,SECTOR 43 LOTE 0 COLONIA TIERRA NUEVA 1,Guatemala,CHINAUTLA,OFICIAL,RURAL,DIARIO(REGULAR),NOCTURNA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,15.00,13.33,86.67,0.00,13.33,40.00,46.67,1.00,14.58,28.11,14.39,85.42,71.89,85.61,86.67,13.33,0.00,13.33,86.67,0.00,13.33,33.33,53.33,1.00,18.35,28.32,14.14,81.65,71.68,85.86,N/D,N/D,N/D,N/D,REGULAR
01-06-0073-45,INSTITUTO NACIONAL MARIA FERNANDA MEDRANO CORDON,SECTOR 43 LOTE 0 COLONIA TERRA NUEVA I,Guatemala,CHINAUTLA,OFICIAL,URBANA,DIARIO(REGULAR),NOCTURNA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,68.00,26.47,73.53,13.24,13.24,29.41,44.12,3.00,14.58,28.11,14.39,85.42,71.89,85.61,79.03,12.90,8.06,8.82,91.18,0.00,8.82,10.29,80.88,1.00,18.35,28.32,14.14,81.65,71.68,85.86,N/D,N/D,N/D,N/D,REGULAR
01-06-1399-45,INSTITUTO PRIVADO MIXTO DE EDUCACION BASICA 'DR. EPAMINONDAS QUINTANA',15 AVE. FINAL JOCOTALES,Guatemala,CHINAUTLA,PRIVADO,URBANA,DIARIO(REGULAR),NOCTURNA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,9.00,0.00,100.00,0.00,0.00,66.67,33.33,0.00,14.58,28.11,14.39,85.42,71.89,85.61,100.00,0.00,0.00,11.11,88.89,0.00,11.11,33.33,55.56,1.00,18.35,28.32,14.14,81.65,71.68,85.86,16.67,N/D,16.67,N/D,
01-06-1401-45,IEBC DE ENSEÑANZA,EDIFICIOS ESCOLARES FRENTE MANZANA 13 COLONIA TIERRA NUEVA I,Guatemala,CHINAUTLA,COOPERATIVA,URBANA,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,89.00,8.99,91.01,4.49,4.49,38.20,52.81,1.00,14.58,28.11,14.39,85.42,71.89,85.61,93.26,3.37,3.37,14.61,85.39,2.25,12.36,31.46,53.93,1.00,18.35,28.32,14.14,81.65,71.68,85.86,22.75,34.71,16.67,11.98,
01-06-1404-45,IEBC DE ENSEÑANZA,ALDEA LA LAGUNETA,Guatemala,CHINAUTLA,COOPERATIVA,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,30.00,13.33,86.67,3.33,10.00,36.67,50.00,1.00,14.58,28.11,14.39,85.42,71.89,85.61,86.21,10.34,3.45,16.67,83.33,0.00,16.67,43.33,40.00,2.00,18.35,28.32,14.14,81.65,71.68,85.86,10.71,26.67,7.14,20.00,
01-06-7035-45,IEBC SANTA FAZ,3AV. FINAL Y 15 CALLE COLONIA SANTA FAZ,Guatemala,CHINAUTLA,COOPERATIVA,URBANA,DIARIO(REGULAR),NOCTURNA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,14.00,21.43,78.57,7.14,14.29,50.00,28.57,2.00,14.58,28.11,14.39,85.42,71.89,85.61,92.86,7.14,0.00,0.00,100.00,0.00,0.00,21.43,78.57,0.00,18.35,28.32,14.14,81.65,71.68,85.86,31.25,N/D,37.50,N/D,
01-06-8276-45,INSTITUTO MIXTO DE EDUCACION BASICA POR COOPERATIVA TIERRA NUEVA II,LOTE 7 SECTOR A-1 MANZANA A TIERRA NUEVA II,Guatemala,CHINAUTLA,COOPERATIVA,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,44.00,11.36,88.64,6.82,4.55,45.45,43.18,1.00,14.58,28.11,14.39,85.42,71.89,85.61,81.82,18.18,0.00,11.36,88.64,0.00,11.36,38.64,50.00,1.00,18.35,28.32,14.14,81.65,71.68,85.86,36.47,35.42,18.82,4.17,
01-06-9068-45,INSTITUTO PARTICULAR MIXTO NOCTURNO 'DR. EPAMINONDAS QUINTANA',"15 AVENIDA FINAL JOCOTALES, ZONA 6",Guatemala,CHINAUTLA,PRIVADO,URBANA,FIN DE SEMANA,DOBLE,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,4.00,0.00,100.00,0.00,0.00,50.00,50.00,0.00,14.58,28.11,14.39,85.42,71.89,85.61,50.00,50.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,18.35,28.32,14.14,81.65,71.68,85.86,100.00,N/D,0.00,N/D,
01-06-9653-45,COLEGIO MIXTO 'UXMAL',"3A. AVENIDA Y 4A. CALLE 2-37, JOCOTALES",Guatemala,CHINAUTLA,PRIVADO,URBANA,FIN DE SEMANA,DOBLE,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,8.00,12.50,87.50,12.50,0.00,12.50,75.00,1.00,14.58,28.11,14.39,85.42,71.89,85.61,100.00,0.00,0.00,12.50,87.50,12.50,0.00,25.00,62.50,1.00,18.35,28.32,14.14,81.65,71.68,85.86,40.00,N/D,0.00,N/D,
01-07-0003-45,COLEGIO INTEGRAL JESUS DE LA MONTAÑA,5TA. AVENIDA 2-59 ZONA 1,Guatemala,SAN PEDRO AYAMPUC,PRIVADO,URBANA,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,14.00,21.43,78.57,7.14,14.29,14.29,64.29,2.00,14.58,28.11,15.73,85.42,71.89,84.27,92.86,0.00,7.14,35.71,64.29,0.00,35.71,35.71,28.57,4.00,18.35,28.32,18.88,81.65,71.68,81.12,0.00,N/D,50.00,N/D,
01-07-0005-45,CENTRO DEL NUCLEO FAMILIAR EDUCATIVO PARA EL DSARROLLO -NUFED- NO. 533,"LOTE 3, MANZANA ""J"" SECTOR 2, COLONIA LEYENDA",Guatemala,SAN PEDRO AYAMPUC,OFICIAL,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,26.00,11.54,88.46,3.85,7.69,26.92,61.54,1.00,14.58,28.11,15.73,85.42,71.89,84.27,76.92,23.08,0.00,7.69,92.31,0.00,7.69,38.46,53.85,1.00,18.35,28.32,18.88,81.65,71.68,81.12,N/D,N/D,N/D,N/D,NUFED
01-07-0009-45,INEB,ALTOS DE LO DE REYES,Guatemala,SAN PEDRO AYAMPUC,OFICIAL,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,13.00,15.38,84.62,0.00,15.38,15.38,69.23,2.00,14.58,28.11,15.73,85.42,71.89,84.27,92.31,7.69,0.00,15.38,84.62,0.00,15.38,23.08,61.54,2.00,18.35,28.32,18.88,81.65,71.68,81.12,N/D,N/D,N/D,N/D,REGULAR
01-07-0011-45,INEB DE TELESECUNDARIA,ALDEA SAN JOSE NACAHUIL,Guatemala,SAN PEDRO AYAMPUC,OFICIAL,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,46.00,6.52,93.48,4.35,2.17,15.22,78.26,1.00,14.58,28.11,15.73,85.42,71.89,84.27,89.13,10.87,0.00,13.04,86.96,0.00,13.04,19.57,67.39,1.00,18.35,28.32,18.88,81.65,71.68,81.12,N/D,N/D,N/D,N/D,TELESECUNDARIA
01-07-0023-45,CENTRO EDUCATIVO CRISTIANO MIXTO MONSEÑOR RAFAEL GONZÁLEZ ESTRADA,"CALLE PRINCIPAL, ALDEA LA LAGUNILLA",Guatemala,SAN PEDRO AYAMPUC,PRIVADO,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,25.00,20.00,80.00,4.00,16.00,60.00,20.00,2.00,14.58,28.11,15.73,85.42,71.89,84.27,76.00,24.00,0.00,40.00,60.00,4.00,36.00,16.00,44.00,4.00,18.35,28.32,18.88,81.65,71.68,81.12,N/D,N/D,N/D,N/D,
01-07-0029-45,INEB SAN LUIS,COLONIA SAN LUIS EN MUNICIPIO DE SAN PEDRO AYAMPUC,Guatemala,SAN PEDRO AYAMPUC,OFICIAL,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,95.00,5.26,94.74,0.00,5.26,23.16,71.58,1.00,14.58,28.11,15.73,85.42,71.89,84.27,80.85,17.02,2.13,6.32,93.68,0.00,6.32,26.32,67.37,1.00,18.35,28.32,18.88,81.65,71.68,81.12,N/D,N/D,N/D,N/D,REGULAR
01-07-1425-45,IEBC ENSEÑANZA,SAN PEDRO AYAMPUC,Guatemala,SAN PEDRO AYAMPUC,COOPERATIVA,URBANA,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,81.00,10.13,89.87,2.53,7.59,17.72,72.15,1.00,14.58,28.11,15.73,85.42,71.89,84.27,95.00,5.00,0.00,14.81,85.19,1.23,13.58,37.04,48.15,1.00,18.35,28.32,18.88,81.65,71.68,81.12,6.19,24.14,14.16,17.58,
01-07-2628-45,IEBC 'LABOR VIEJA',ALDEA LABOR VIEJA,Guatemala,SAN PEDRO AYAMPUC,COOPERATIVA,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,116.00,31.90,68.10,15.52,16.38,34.48,33.62,3.00,14.58,28.11,15.73,85.42,71.89,84.27,66.38,31.03,2.59,27.59,72.41,1.72,25.86,32.76,39.66,3.00,18.35,28.32,18.88,81.65,71.68,81.12,29.20,41.53,12.28,31.25,
01-07-2875-45,IEBC DE ENSEÑANZA,ALDEA EL CARRIZAL,Guatemala,SAN PEDRO AYAMPUC,COOPERATIVA,RURAL,DIARIO(REGULAR),VESPERTINA,191412,91902,99510,48.01,51.99,165470,1299,414,19028,5201,14.58,85.42,6.32,8.26,27.69,57.73,18.35,81.65,1.87,16.48,29.38,52.27,11.00,9.09,90.91,9.09,0.00,54.55,36.36,1.00,14.58,28.11,15.73,85.42,71.89,84.27,90.91,0.00,9.09,18.18,81.82,0.00,18.18,27.27,54.55,2.00,18.35,28.32,18.88,81.65,71.68,81.12,0.00,0.00,0.00,0.00,
