VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38,VAR39,VAR40,VAR41,VAR42,VAR43,VAR44,VAR45,VAR46,VAR47,VAR48,VAR49,VAR50,VAR51,VAR52,VAR53,VAR54,VAR55,VAR56,VAR57,VAR58,VAR59,VAR60,VAR61,VAR62,VAR63,VAR64,VAR65,VAR66,VAR67,VAR68,VAR69,VAR70,VAR71,VAR72,VAR73,VAR74,VAR75,VAR76,VAR77,VAR78,VAR79,VAR80,VAR81,VAR82,VAR83,VAR84,VAR85,VAR86,VAR87,VAR88,VAR89,VAR90,VAR91,VAR92,VAR93,VAR94,VAR95,VAR96,VAR97,VAR98,VAR99,VAR100,VAR101,VAR102,VAR103,VAR104,VAR105,VAR106,VAR107,VAR108,VAR109,VAR110,VAR111,VAR112,VAR113,VAR114,VAR115,VAR116,VAR117
09-18-0006-46,Instituto Nacional De Educación Diversificada,San Francisco La Unión,Quetzaltenango,San Francisco La Unión,Oficial,Urbana,Diario (Regular),Matutina,4,N/D,N/D,N/D,N/D,11.11,75.00,50.00,25.00,25.00,25.00,0.00,32.32,33.02,75.00,53.90,54.52,43.89,53.81,54.87,43.23,60.94,65.38,75.00,60.94,65.38,75.00,N/D,N/D,N/D,N/D,0.00,0.00,0.00,0.00,100.00,50.00,50.00,9.01,8.65,0.00,37.24,41.75,32.23,37.61,42.93,32.64,39.71,38.46,40.00,39.71,38.46,40.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,50.00,17.75,100.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,50.00,1.75,2.25,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,25.00,25.00,0.00,0,1,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
09-19-0013-46,Instituto Nacional De Educación Diversificada,El Palmar,Quetzaltenango,El Palmar,Oficial,Urbana,Diario (Regular),Vespertina,24,7.14,26.67,62.50,18.18,14.29,45.83,20.83,25.00,54.17,25.00,29.17,32.32,33.02,43.10,53.90,54.52,43.89,53.81,54.87,43.23,55.50,57.49,43.53,54.43,60.58,39.06,0.00,0.00,0.00,0.00,7.14,8.33,0.00,8.33,91.67,41.67,50.00,9.01,8.65,5.36,37.24,41.75,32.23,37.61,42.93,32.64,38.24,40.45,29.20,36.03,40.06,35.56,70.83,25.00,0.00,0.00,0.00,0.00,4.17,0.00,95.83,0.00,0.00,0.00,4.17,0.00,70.83,25.00,27.27,18.96,54.17,12.50,16.67,0.00,16.67,79.17,4.17,0.00,0.00,16.67,1.96,1.78,65.22,3.17,8.33,29.17,58.33,4.17,0.00,0.00,0.00,0.00,25.00,62.50,12.50,0.00,0.00,0,1,4.35,17.39,73.91,4.35,0.00,0.00,0.00,0.00
09-19-0014-46,Instituto Nacional De Educación Diversificada,Lotificación San Marcos,Quetzaltenango,El Palmar,Oficial,Rural,Diario (Regular),Vespertina,17,16.67,20.00,15.38,0.00,13.64,52.94,17.65,35.29,47.06,23.53,23.53,32.32,33.02,43.10,53.90,54.52,43.89,53.81,54.87,43.23,55.50,57.49,43.53,55.51,55.20,47.06,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,100.00,29.41,70.59,9.01,8.65,5.36,37.24,41.75,32.23,37.61,42.93,32.64,38.24,40.45,29.20,43.25,42.53,24.31,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,82.35,23.53,35.29,18.41,82.35,0.00,0.00,5.88,11.76,58.82,0.00,0.00,0.00,41.18,1.56,1.50,88.24,1.35,16.67,0.00,83.33,0.00,0.00,0.00,0.00,0.00,11.76,76.47,11.76,0.00,0.00,0,1,5.88,5.88,70.59,5.88,5.88,0.00,5.88,0.00
09-19-2611-46,Colegio Privado Urbano Mixto Santiago Apostol,,Quetzaltenango,El Palmar,Privado,Urbana,Diario (Regular),Vespertina,17,16.67,0.00,0.00,20.00,11.76,29.41,11.76,17.65,70.59,52.94,17.65,32.32,33.02,43.10,53.90,54.52,43.89,53.81,54.87,43.23,55.50,57.49,43.53,56.99,55.43,46.32,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,94.12,23.53,70.59,9.01,8.65,5.36,37.24,41.75,32.23,37.61,42.93,32.64,38.24,40.45,29.20,36.33,38.91,25.10,58.82,35.29,0.00,0.00,0.00,0.00,5.88,11.76,88.24,0.00,0.00,0.00,0.00,0.00,82.35,29.41,11.76,21.12,52.94,5.88,17.65,5.88,17.65,47.06,0.00,17.65,5.88,29.41,0.00,1.25,70.59,5.88,5.88,11.76,82.35,0.00,0.00,0.00,0.00,0.00,17.65,58.82,23.53,0.00,0.00,0,1,0.00,5.88,94.12,0.00,0.00,0.00,0.00,0.00
09-20-0001-46,Instituto Privado Técnico Empresarial Coatepeque,4Ta. Calle 5-34 Zona 1,Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Matutina,35,5.26,17.86,4.17,30.30,6.25,14.29,8.57,5.71,85.71,45.71,40.00,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,48.04,52.31,40.71,0.00,0.00,0.00,0.00,0.00,2.86,0.00,2.86,97.14,20.00,77.14,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,27.73,34.07,26.86,2.86,97.14,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,85.29,20.00,17.14,18.00,48.57,14.29,17.14,2.86,17.14,65.71,8.57,11.43,2.86,11.43,1.59,1.51,94.29,3.06,6.67,0.00,40.00,53.33,0.00,0.00,0.00,0.00,14.29,54.29,17.14,5.71,8.57,1,1,7.41,0.00,29.63,62.96,0.00,0.00,0.00,0.00
09-20-0004-46,Colegio Mixto Centroamericano,"2Da. Calle 6-33 Zona 1,",Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Matutina,75,12.50,18.75,19.35,25.81,11.67,42.67,24.00,18.67,57.33,32.00,25.33,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,56.75,58.46,54.67,0.00,3.13,6.45,3.23,0.00,2.67,2.67,0.00,97.34,30.67,66.67,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,31.53,41.23,26.49,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,98.67,0.00,0.00,0.00,1.33,0.00,82.67,26.39,16.22,18.12,32.00,16.00,32.00,6.67,13.33,46.67,14.67,25.33,6.67,6.67,1.81,1.82,81.08,2.55,5.48,5.48,26.03,60.27,1.37,0.00,0.00,1.37,16.22,62.16,9.46,5.41,6.76,0,1,0.00,4.62,26.15,69.23,0.00,0.00,0.00,0.00
09-20-0011-46,Colegio Centroamericano,"2Da. Calle 6-33 Zona 1, Barrio La Esperanza",Quetzaltenango,Coatepeque,Privado,Urbana,Fin De Semana,Doble,21,0.00,16.67,13.33,0.00,8.33,19.05,9.52,9.52,80.95,23.81,57.14,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,43.45,50.55,38.69,0.00,0.00,0.00,0.00,0.00,9.52,0.00,9.52,90.48,42.86,47.62,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,50.95,43.92,41.76,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,52.38,42.86,61.90,20.29,57.14,9.52,4.76,4.76,23.81,66.67,4.76,0.00,0.00,28.57,0.90,1.55,100.00,1.10,0.00,0.00,9.52,9.52,66.67,4.76,0.00,9.52,9.52,47.62,33.33,4.76,4.76,0,1,0.00,4.76,0.00,14.29,80.95,0.00,0.00,0.00
09-20-0015-46,Instituto Nacional De Educación Diversificada,2A. Ave. 3-01 Zona 1,Quetzaltenango,Coatepeque,Oficial,Urbana,Diario (Regular),Vespertina,10,N/D,35.71,18.18,35.00,16.67,30.00,30.00,0.00,70.00,40.00,30.00,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,51.25,61.15,36.25,N/D,0.00,0.00,5.00,5.56,0.00,0.00,0.00,100.00,20.00,80.00,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,25.29,28.46,22.00,10.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,77.78,30.00,30.00,18.10,20.00,20.00,20.00,0.00,40.00,50.00,10.00,20.00,10.00,10.00,1.33,2.40,90.00,4.80,30.00,10.00,50.00,10.00,0.00,0.00,0.00,0.00,10.00,50.00,40.00,0.00,0.00,0,1,0.00,20.00,70.00,10.00,0.00,0.00,0.00,0.00
09-20-0016-46,Instituto Nacional De Educación Diversificada Ana De Molina,"5Ta. Ave. 0-66 Zona 3, Barrio San Francisco",Quetzaltenango,Coatepeque,Oficial,Urbana,Diario (Regular),Vespertina,15,7.41,7.14,20.00,11.11,10.00,13.33,0.00,13.33,86.67,53.33,33.33,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,45.42,50.51,50.00,3.70,0.00,5.00,3.70,0.00,0.00,0.00,0.00,100.00,20.00,80.00,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,30.20,37.44,31.11,20.00,60.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,53.33,28.57,26.67,17.80,40.00,0.00,13.33,6.67,40.00,66.67,6.67,13.33,0.00,13.33,1.91,1.67,100.00,4.00,13.33,20.00,66.67,0.00,0.00,0.00,0.00,0.00,13.33,53.33,33.33,0.00,0.00,0,1,0.00,13.33,80.00,6.67,0.00,0.00,0.00,0.00
09-20-0023-46,Instituto Particular De Educación Avanzada De Coatepeque -Ipeac-,"1Ra. Avenida 8-59 Zona 1, Barrio Independencia",Quetzaltenango,Coatepeque,Privado,Urbana,Fin De Semana,Doble,139,12.90,12.09,4.67,6.78,8.20,10.79,5.76,5.04,89.21,34.53,54.68,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,47.98,47.81,29.68,0.00,1.05,0.00,0.85,2.46,2.88,0.72,2.16,97.12,36.69,60.43,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,38.98,39.13,39.72,2.16,97.12,0.72,0.00,0.00,0.00,0.00,0.72,99.28,0.00,0.00,0.00,0.00,0.00,72.18,33.58,64.18,19.76,56.12,10.79,3.60,0.72,28.78,60.43,7.19,3.60,0.72,28.06,0.94,1.08,75.76,0.75,15.09,32.08,26.42,22.64,3.77,0.00,0.00,0.00,30.66,56.93,8.76,2.92,0.73,0,1,2.75,10.09,21.10,50.46,12.84,1.83,0.92,0.00
09-20-0029-46,Instituto Técnico De Capacitacion Y Productividad -Intecap-,Km. 222 Carretera Ca-2 Pacifico,Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Doble,18,13.33,38.46,N/D,23.53,18.75,38.89,11.11,27.78,61.11,16.67,44.44,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,50.00,54.06,53.47,6.67,7.69,N/D,5.88,6.25,5.56,5.56,0.00,94.45,38.89,55.56,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,38.56,38.03,31.11,11.11,77.78,11.11,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,88.24,29.41,33.33,18.17,50.00,11.11,22.22,0.00,16.67,44.44,0.00,27.78,5.56,22.22,1.94,2.33,94.44,1.22,12.50,6.25,6.25,12.50,12.50,6.25,18.75,25.00,38.89,38.89,22.22,0.00,0.00,1,1,0.00,5.56,11.11,0.00,5.56,27.78,5.56,44.44
09-20-0033-46,Instituto De Computación Informática,"13 Avenida 6-188 Zona 2, Residenciales La Ceiba",Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Vespertina,22,16.67,22.22,14.29,21.43,27.27,27.27,18.18,9.09,72.73,27.27,45.45,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,49.15,55.42,38.64,0.00,22.22,0.00,7.14,0.00,0.00,0.00,0.00,100.00,40.91,59.09,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,38.56,36.71,32.23,13.64,81.82,0.00,0.00,4.55,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,86.36,18.18,36.36,18.23,59.09,13.64,9.09,0.00,18.18,50.00,13.64,4.55,0.00,31.82,1.27,1.56,86.36,1.09,33.33,26.67,33.33,0.00,6.67,0.00,0.00,0.00,18.18,63.64,13.64,0.00,4.55,0,1,0.00,22.73,54.55,13.64,4.55,4.55,0.00,0.00
09-20-0034-46,Colegio Cristiano Mixto Shalom,"Kilómetro 1 Ruta A Nuevo Chuatuj,",Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Matutina,79,18.75,25.58,12.50,27.71,20.73,26.58,13.92,12.66,73.42,37.97,35.44,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,51.50,55.65,48.26,0.00,4.65,6.25,2.41,4.88,3.80,1.27,2.53,96.20,29.11,67.09,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,35.00,40.12,26.50,1.27,98.73,0.00,0.00,0.00,0.00,0.00,2.53,94.94,0.00,0.00,0.00,0.00,2.53,89.74,19.23,7.69,17.18,35.44,24.05,15.19,8.86,16.46,46.84,16.46,13.92,6.33,16.46,1.20,1.72,91.14,2.86,2.63,2.63,3.95,89.47,1.32,0.00,0.00,0.00,21.52,63.29,11.39,2.53,1.27,0,1,0.00,2.53,1.27,94.94,1.27,0.00,0.00,0.00
09-20-0039-46,Colegio Cristiano Bilingüe Verbo,Kilometro 2.5 Carretera A Nuevo Chuatuj Zona 7,Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Matutina,8,N/D,50.00,60.00,77.78,40.00,75.00,50.00,25.00,25.00,12.50,12.50,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,59.38,62.98,65.63,N/D,40.00,10.00,22.22,60.00,37.50,12.50,25.00,62.50,25.00,37.50,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,44.85,54.81,40.83,12.50,87.50,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,87.50,12.50,12.50,16.88,0.00,25.00,37.50,0.00,37.50,12.50,12.50,62.50,0.00,12.50,3.43,1.86,62.50,2.25,0.00,12.50,87.50,0.00,0.00,0.00,0.00,0.00,25.00,25.00,50.00,0.00,0.00,0,1,0.00,12.50,87.50,0.00,0.00,0.00,0.00,0.00
09-20-0045-46,Centro Educativo Privado Del Sur,"7A Calle 5-35 Zona 1,",Quetzaltenango,Coatepeque,Privado,Urbana,Fin De Semana,Doble,59,N/D,N/D,N/D,25.00,15.63,10.17,1.69,8.47,89.83,18.64,71.19,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,44.92,40.74,23.94,N/D,N/D,N/D,0.00,0.00,0.00,0.00,0.00,100.00,20.34,79.66,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,27.17,33.43,25.00,16.95,81.36,0.00,0.00,1.69,0.00,0.00,1.69,96.61,0.00,0.00,0.00,0.00,1.69,74.07,29.82,66.67,20.20,55.93,13.56,8.47,1.69,20.34,50.85,10.17,5.08,1.69,32.20,0.90,1.33,86.44,0.82,43.90,7.32,24.39,19.51,4.88,0.00,0.00,0.00,28.81,44.07,16.95,3.39,6.78,0,1,12.24,20.41,38.78,28.57,0.00,0.00,0.00,0.00
09-20-0046-46,Colegio Privado Paraíso Pacayá,"Aldea San Rafael Pacayá No. 2,",Quetzaltenango,Coatepeque,Privado,Rural,Diario (Regular),Matutina,13,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,30.77,69.23,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,38.46,48.82,23.08,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,23.08,76.92,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,30.77,39.05,24.10,23.08,76.92,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,81.82,60.00,30.77,19.38,46.15,7.69,0.00,7.69,38.46,69.23,0.00,0.00,0.00,30.77,1.58,2.22,100.00,2.38,15.38,38.46,38.46,7.69,0.00,0.00,0.00,0.00,7.69,76.92,15.38,0.00,0.00,0,0,16.67,25.00,50.00,8.33,0.00,0.00,0.00,0.00
09-20-0053-46,Colegio Privado Urbano Mixto La Montaña,Kilómetro 2.5 Carretera A Chuatuj,Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Matutina,4,N/D,N/D,N/D,N/D,N/D,50.00,50.00,0.00,50.00,50.00,0.00,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,67.19,68.27,56.25,N/D,N/D,N/D,N/D,N/D,25.00,0.00,25.00,75.00,75.00,0.00,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,50.00,61.54,46.67,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,16.75,25.00,25.00,25.00,0.00,25.00,0.00,25.00,50.00,0.00,25.00,2.00,3.00,50.00,0.25,50.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,25.00,75.00,0.00,0.00,0.00,1,1,0.00,0.00,0.00,75.00,0.00,0.00,0.00,25.00
09-20-0057-46,Liceo Santander Coatepeque,"6A. Calle 1-25 Zona 1, Calzada Alvaro Arzú",Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Matutina,15,N/D,N/D,N/D,N/D,50.00,40.00,13.33,26.67,60.00,33.33,26.67,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,56.25,57.69,39.17,N/D,N/D,N/D,N/D,50.00,0.00,0.00,0.00,100.00,60.00,40.00,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,41.96,42.56,28.89,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,33.33,0.00,17.73,6.67,26.67,33.33,20.00,13.33,20.00,20.00,40.00,13.33,6.67,1.73,1.85,66.67,3.80,13.33,0.00,86.67,0.00,0.00,0.00,0.00,0.00,42.86,42.86,7.14,7.14,0.00,0,1,6.67,0.00,86.67,6.67,0.00,0.00,0.00,0.00
09-20-0063-46,Instituto Particular Mixto Pedro Molina,"4A. Avenida 1-09 Zona 1,",Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Nocturna,13,N/D,N/D,N/D,N/D,N/D,15.38,7.69,7.69,84.62,46.15,38.46,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,51.92,49.70,35.58,N/D,N/D,N/D,N/D,N/D,0.00,0.00,0.00,100.00,38.46,61.54,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,28.51,38.46,26.67,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,50.00,38.46,84.62,23.69,46.15,0.00,15.38,0.00,38.46,61.54,7.69,7.69,0.00,23.08,0.54,1.33,61.54,2.69,16.67,83.33,0.00,0.00,0.00,0.00,0.00,0.00,30.77,61.54,7.69,0.00,0.00,1,1,7.69,92.31,0.00,0.00,0.00,0.00,0.00,0.00
09-20-0652-46,Escuela Nacional De Ciencias Comerciales,"7A. Calle 1-42 Zona 6, Colonia Miguel Angel Asturias",Quetzaltenango,Coatepeque,Oficial,Urbana,Diario (Regular),Vespertina,166,10.67,17.74,15.31,22.49,18.42,29.52,12.65,16.87,70.48,33.13,37.35,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,50.53,55.24,42.32,5.08,3.61,3.57,6.51,2.63,8.43,6.02,2.41,91.57,43.98,47.59,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,43.72,43.05,46.56,0.60,97.59,1.81,0.00,0.00,0.00,0.00,0.60,98.19,0.00,0.00,0.00,1.20,0.00,69.75,27.78,31.68,18.34,53.01,10.24,18.07,1.81,16.87,51.81,9.04,12.65,1.20,25.30,0.08,1.04,99.40,1.57,22.50,17.50,53.33,5.83,0.00,0.83,0.00,0.00,23.49,59.64,12.65,2.41,1.81,0,1,4.55,8.44,75.97,9.09,1.30,0.00,0.00,0.65
09-20-0653-46,Instituto Privado Mixto De Educación Diversificada Humanidades,2A Calle 6-33 Zona 1,Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Vespertina,14,18.03,23.53,19.79,17.93,18.75,0.00,0.00,0.00,100.00,42.86,57.14,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,42.41,46.70,41.96,3.23,2.86,2.04,2.07,18.75,0.00,0.00,0.00,100.00,28.57,71.43,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,33.61,36.26,22.86,21.43,78.57,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,69.23,35.71,35.71,17.64,57.14,14.29,21.43,0.00,7.14,57.14,14.29,0.00,0.00,28.57,0.83,1.00,100.00,1.93,0.00,22.22,55.56,22.22,0.00,0.00,0.00,0.00,7.14,64.29,21.43,0.00,7.14,0,1,0.00,21.43,57.14,21.43,0.00,0.00,0.00,0.00
09-20-0654-46,Instituto Tecnológico Privado De Coatepeque,"9 Ave 1-34 Zona 1, Colonia Santa Elena, Barrio La Esperanza.",Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Matutina,75,34.33,15.87,27.03,37.36,33.94,40.00,18.67,21.33,60.00,34.67,25.33,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,57.33,59.03,46.50,7.46,0.00,2.67,7.69,9.17,5.33,1.33,4.00,94.67,38.67,56.00,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,36.66,45.12,28.35,5.33,88.00,1.33,0.00,0.00,0.00,5.33,0.00,100.00,0.00,0.00,0.00,0.00,0.00,87.84,22.67,23.61,17.76,34.67,18.67,25.33,5.33,16.00,42.67,18.67,18.67,5.33,14.67,2.19,2.00,80.82,2.33,8.06,8.06,17.74,40.32,20.97,1.61,0.00,3.23,16.22,51.35,27.03,1.35,4.05,1,1,1.33,1.33,16.00,53.33,24.00,1.33,0.00,2.67
09-20-0655-46,Instituto Privado Mixto Rafael Arevalo Martinez,3A Ave 10-59 Zona 4 Barrio Colombita,Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Matutina,183,33.53,28.57,38.27,32.73,36.03,50.27,26.23,24.04,49.73,29.51,20.22,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,58.23,60.55,52.94,10.18,4.23,10.49,9.70,8.82,4.37,2.19,2.19,95.63,36.61,59.02,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,37.63,43.00,28.65,2.73,93.44,0.55,0.00,1.09,0.00,2.19,0.55,98.91,0.00,0.00,0.00,0.55,0.00,92.22,15.73,17.78,17.75,31.15,11.48,32.79,12.57,12.02,36.07,16.39,20.77,14.20,12.57,1.83,1.98,84.83,2.54,3.85,7.05,82.05,6.41,0.00,0.00,0.64,0.00,27.87,53.55,12.57,2.19,3.83,1,1,3.05,8.40,77.10,10.69,0.76,0.00,0.00,0.00
09-20-0659-46,Instituto Particular Mixto Pedro Molina,4A Ave 1-09 Zona 1,Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Vespertina,90,20.66,16.40,20.63,20.21,13.48,20.00,8.89,11.11,80.00,38.89,41.11,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,49.24,52.82,43.89,4.13,0.53,29.81,5.85,1.12,0.00,0.00,0.00,100.00,25.56,74.44,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,32.94,39.57,24.22,6.67,92.22,0.00,0.00,0.00,1.11,0.00,0.00,97.78,0.00,0.00,1.11,0.00,1.11,84.09,19.32,14.94,18.53,38.89,22.22,15.56,6.66,16.67,44.44,16.67,18.89,3.33,16.67,0.77,1.20,85.56,3.39,4.55,12.50,57.95,25.00,0.00,0.00,0.00,0.00,31.11,48.89,14.44,4.44,1.11,1,1,3.33,11.11,58.89,24.44,2.22,0.00,0.00,0.00
09-20-0660-46,Instituto Particular Mixto Pedro Molina,4A Avenida 1-09 Zona 1,Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Matutina,237,15.70,15.73,25.64,31.76,21.58,30.80,13.50,17.30,69.20,38.40,30.80,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,53.09,55.42,49.00,4.13,5.68,16.67,2.70,1.58,2.53,0.84,1.69,97.47,41.77,55.70,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,36.49,43.99,28.67,5.06,93.67,0.00,0.00,0.00,0.00,1.27,0.42,99.16,0.00,0.00,0.00,0.00,0.42,83.05,29.79,10.96,17.85,38.82,16.03,20.68,4.64,19.83,43.88,15.61,11.81,4.64,24.05,1.69,1.54,92.80,3.84,2.15,8.58,82.83,6.01,0.00,0.43,0.00,0.00,23.63,59.92,12.66,2.11,1.69,1,1,0.84,6.75,84.81,5.91,0.42,0.84,0.42,0.00
09-20-0661-46,Instituto Particular Mixto Pedro Molina,4A Avenida 1-09 Zona 1,Quetzaltenango,Coatepeque,Privado,Urbana,Diario (Regular),Nocturna,14,7.69,29.17,21.05,25.00,11.11,7.14,7.14,0.00,92.86,64.29,28.57,32.32,33.02,28.92,53.90,54.52,43.89,53.81,54.87,43.23,51.90,54.36,43.56,50.89,50.27,41.07,3.85,0.00,26.32,3.57,0.00,0.00,0.00,0.00,100.00,42.86,57.14,9.01,8.65,4.54,37.24,41.75,32.23,37.61,42.93,32.64,36.26,41.58,31.31,34.45,41.76,27.14,7.14,92.86,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,100.00,26.93,42.86,7.14,0.00,0.00,50.00,71.43,0.00,0.00,0.00,28.57,0.85,1.00,57.14,2.93,15.38,84.62,0.00,0.00,0.00,0.00,0.00,0.00,28.57,57.14,14.29,0.00,0.00,1,1,7.14,92.86,0.00,0.00,0.00,0.00,0.00,0.00
